product_id,product_name,category,subcategory,brand,base_price,margin_rate,launch_date,active
P1070,TrailRover Weekend Patio Heater 269,patio,patio heater,Summit Finch,202.52,0.3,2025-10-22,Y
P1071,HearthRambler Expedition Flashlight 270,emergency,flashlight,Switchback Supply,143.3,0.36,2019-11-23,Y
P1072,CanyonNomad Travel Tumbler 271,hydration,insulated tumbler,TrailForge,134.29,0.45,2020-12-24,Y
P1073,PineRunner Lightweight Jacket 272,outerwear,rain shell,Rocky Top Outfitters,125.32,0.5,2021-01-01,Y
P1074,VistaRover Mid Trail Shoes 273,footwear,trail shoes,Highland Ember,191.7,0.47,2022-02-02,Y
P1075,BoulderRambler 2P Camp Chair 274,camping,camp chair,Creekline,165.22,0.32,2023-03-03,Y
P1076,CloudNomad Compact Cooler 275,patio,cooler,Moss & Mile,686.08,0.33,2024-04-04,Y
P1077,FieldRunner Storm Kit Battery Pack 276,emergency,battery pack,Blue Ridge Works,95.15,0.34,2025-05-05,Y
P1078,SwitchbackRover 20oz Tumbler 277,hydration,insulated tumbler,Summit Finch,146.35,0.39,2019-06-06,Y
P1079,MoonRambler Stormproof Jacket 278,outerwear,rain shell,Switchback Supply,256.21,0.41,2020-07-07,Y
P1080,PeakNomad Waterproof Trail Shoes 279,footwear,trail shoes,TrailForge,143.0,0.38,2021-08-08,Y
