order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member,new_product_id,product_system,source_file,source_folder_date,proposed_legacy_product_id,match_status,match_score,review_note,source_product_id,product_reconciliation_status,product_reconciled_flag,canonical_product_id,legacy_product_name,legacy_category,legacy_subcategory,legacy_brand,new_product_name,new_category,new_subcategory,new_brand,canonical_product_name,canonical_category,canonical_subcategory,canonical_brand
20260712-0012,2026-07-12,S007,P1072,1,114.15,15,pickup,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1072,legacy_original,True,P1072,CanyonNomad Travel Tumbler 271,hydration,insulated tumbler,TrailForge,,,,,CanyonNomad Travel Tumbler 271,hydration,insulated tumbler,TrailForge
20260712-0013,2026-07-12,S006,P1065,1,112.86,0,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1065,legacy_original,True,P1065,SummitRunner Mini Battery Pack 264,emergency,battery pack,Rocky Top Outfitters,,,,,SummitRunner Mini Battery Pack 264,emergency,battery pack,Rocky Top Outfitters
20260712-0014,2026-07-12,S002,P1043,1,228.95,5,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1043,legacy_original,True,P1043,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline,,,,,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline
20260712-0015,2026-07-12,S006,P1062,2,136.55,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1062,legacy_original,True,P1062,SwitchbackRover Wide Trail Shoes 261,footwear,trail shoes,Summit Finch,,,,,SwitchbackRover Wide Trail Shoes 261,footwear,trail shoes,Summit Finch
20260712-0016,2026-07-12,S005,P1048,4,59.74,15,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1048,legacy_original,True,P1048,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge,,,,,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge
20260712-0017,2026-07-12,S007,P1032,3,164.97,15,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1032,legacy_original,True,P1032,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge,,,,,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge
20260712-0018,2026-07-12,S004,P1032,1,155.26,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1032,legacy_original,True,P1032,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge,,,,,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge
20260712-0019,2026-07-12,S001,P1031,4,164.85,5,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1031,legacy_original,True,P1031,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply,,,,,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply
20260712-0020,2026-07-12,S003,P1035,1,125.57,15,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1035,legacy_original,True,P1035,CreekRambler Rechargeable Flashlight 234,emergency,flashlight,Creekline,,,,,CreekRambler Rechargeable Flashlight 234,emergency,flashlight,Creekline
20260712-0021,2026-07-12,S005,P1028,1,518.02,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1028,legacy_original,True,P1028,CloudNomad Compact Cooler 227,patio,cooler,Moss & Mile,,,,,CloudNomad Compact Cooler 227,patio,cooler,Moss & Mile
20260712-0022,2026-07-12,S001,P1018,1,130.36,15,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1018,legacy_original,True,P1018,RidgeRover Trail Tumbler 217,hydration,insulated tumbler,Highland Ember,,,,,RidgeRover Trail Tumbler 217,hydration,insulated tumbler,Highland Ember
20260712-0023,2026-07-12,S004,P1043,3,228.95,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1043,legacy_original,True,P1043,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline,,,,,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline
20260712-0024,2026-07-12,S005,P1004,1,104.41,5,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1004,legacy_original,True,P1004,StormNomad Compact Cooler 203,patio,cooler,Moss & Mile,,,,,StormNomad Compact Cooler 203,patio,cooler,Moss & Mile
20260712-0025,2026-07-12,S006,P1031,2,156.18,10,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1031,legacy_original,True,P1031,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply,,,,,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply
20260712-0026,2026-07-12,S001,P1060,3,146.67,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1060,legacy_original,True,P1060,CloudNomad 32oz Tumbler 259,hydration,insulated tumbler,Moss & Mile,,,,,CloudNomad 32oz Tumbler 259,hydration,insulated tumbler,Moss & Mile
20260712-0027,2026-07-12,S003,P1027,3,92.03,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1027,legacy_original,True,P1027,BoulderRambler 2P Camp Chair 226,camping,camp chair,Creekline,,,,,BoulderRambler 2P Camp Chair 226,camping,camp chair,Creekline
20260712-0028,2026-07-12,S005,P1009,3,109.5,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1009,legacy_original,True,P1009,PineRunner 4P Tent 208,camping,tent,Rocky Top Outfitters,,,,,PineRunner 4P Tent 208,camping,tent,Rocky Top Outfitters
20260712-0029,2026-07-12,S008,P1060,3,131.23,15,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1060,legacy_original,True,P1060,CloudNomad 32oz Tumbler 259,hydration,insulated tumbler,Moss & Mile,,,,,CloudNomad 32oz Tumbler 259,hydration,insulated tumbler,Moss & Mile
20260712-0030,2026-07-12,S004,P1020,2,190.33,10,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1020,legacy_original,True,P1020,StormNomad Approach Trail Shoes 219,footwear,trail shoes,Moss & Mile,,,,,StormNomad Approach Trail Shoes 219,footwear,trail shoes,Moss & Mile
20260712-0031,2026-07-12,S005,P1043,4,241.0,0,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1043,legacy_original,True,P1043,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline,,,,,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline
20260712-0032,2026-07-12,S007,P1040,3,108.81,0,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1040,legacy_original,True,P1040,CanyonNomad XL Cooler 239,patio,cooler,TrailForge,,,,,CanyonNomad XL Cooler 239,patio,cooler,TrailForge
20260712-0033,2026-07-12,S007,P1032,1,184.38,5,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1032,legacy_original,True,P1032,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge,,,,,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge
20260712-0034,2026-07-12,S003,P1067,2,213.58,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1067,legacy_original,True,P1067,CreekRambler Alpine Jacket 266,outerwear,rain shell,Creekline,,,,,CreekRambler Alpine Jacket 266,outerwear,rain shell,Creekline
20260712-0035,2026-07-12,S001,P1024,2,90.59,0,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1024,legacy_original,True,P1024,CanyonNomad Travel Tumbler 223,hydration,insulated tumbler,TrailForge,,,,,CanyonNomad Travel Tumbler 223,hydration,insulated tumbler,TrailForge
20260712-0036,2026-07-12,S002,P1036,1,149.83,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1036,legacy_original,True,P1036,StormNomad 32oz Tumbler 235,hydration,insulated tumbler,Moss & Mile,,,,,StormNomad 32oz Tumbler 235,hydration,insulated tumbler,Moss & Mile
20260712-0037,2026-07-12,S007,P1008,2,157.95,10,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1008,legacy_original,True,P1008,CanyonNomad Waterproof Trail Shoes 207,footwear,trail shoes,TrailForge,,,,,CanyonNomad Waterproof Trail Shoes 207,footwear,trail shoes,TrailForge
20260712-0038,2026-07-12,S008,P1033,2,189.46,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1033,legacy_original,True,P1033,SummitRunner 4P Tent 232,camping,tent,Rocky Top Outfitters,,,,,SummitRunner 4P Tent 232,camping,tent,Rocky Top Outfitters
20260712-0039,2026-07-12,S006,P1048,3,59.74,15,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1048,legacy_original,True,P1048,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge,,,,,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge
20260712-0040,2026-07-12,S003,P1026,1,130.4,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1026,legacy_original,True,P1026,VistaRover Mid Trail Shoes 225,footwear,trail shoes,Highland Ember,,,,,VistaRover Mid Trail Shoes 225,footwear,trail shoes,Highland Ember
20260712-0041,2026-07-12,S003,P1006,1,44.73,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1006,legacy_original,True,P1006,TrailRover 20oz Tumbler 205,hydration,insulated tumbler,Summit Finch,,,,,TrailRover 20oz Tumbler 205,hydration,insulated tumbler,Summit Finch
20260712-0042,2026-07-12,S004,P1021,1,73.74,0,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1021,legacy_original,True,P1021,EmberRunner Basecamp Tent 220,camping,tent,Blue Ridge Works,,,,,EmberRunner Basecamp Tent 220,camping,tent,Blue Ridge Works
20260712-0043,2026-07-12,S004,P1012,1,123.66,0,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1012,legacy_original,True,P1012,CloudNomad 32oz Tumbler 211,hydration,insulated tumbler,Moss & Mile,,,,,CloudNomad 32oz Tumbler 211,hydration,insulated tumbler,Moss & Mile
20260712-0044,2026-07-12,S003,P1018,2,122.69,20,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1018,legacy_original,True,P1018,RidgeRover Trail Tumbler 217,hydration,insulated tumbler,Highland Ember,,,,,RidgeRover Trail Tumbler 217,hydration,insulated tumbler,Highland Ember
20260712-0045,2026-07-12,S008,P1044,2,160.86,15,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1044,legacy_original,True,P1044,CloudNomad Approach Trail Shoes 243,footwear,trail shoes,Moss & Mile,,,,,CloudNomad Approach Trail Shoes 243,footwear,trail shoes,Moss & Mile
20260712-0046,2026-07-12,S006,P1050,1,71.54,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1050,legacy_original,True,P1050,RidgeRover Mid Trail Shoes 249,footwear,trail shoes,Highland Ember,,,,,RidgeRover Mid Trail Shoes 249,footwear,trail shoes,Highland Ember
20260712-0047,2026-07-12,S005,P1051,2,339.32,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1051,legacy_original,True,P1051,CreekRambler 2P Camp Chair 250,camping,camp chair,Creekline,,,,,CreekRambler 2P Camp Chair 250,camping,camp chair,Creekline
20260712-0048,2026-07-12,S004,P1042,3,97.96,15,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1042,legacy_original,True,P1042,VistaRover Trail Tumbler 241,hydration,insulated tumbler,Highland Ember,,,,,VistaRover Trail Tumbler 241,hydration,insulated tumbler,Highland Ember
20260712-0049,2026-07-12,S006,P1016,1,634.09,0,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1016,legacy_original,True,P1016,PeakNomad XL Cooler 215,patio,cooler,TrailForge,,,,,PeakNomad XL Cooler 215,patio,cooler,TrailForge
20260712-0050,2026-07-12,S003,P1014,3,204.67,0,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1014,legacy_original,True,P1014,SwitchbackRover Wide Trail Shoes 213,footwear,trail shoes,Summit Finch,,,,,SwitchbackRover Wide Trail Shoes 213,footwear,trail shoes,Summit Finch
20260712-0051,2026-07-12,S003,P1031,1,164.85,5,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1031,legacy_original,True,P1031,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply,,,,,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply
20260712-0052,2026-07-12,S008,P1071,2,143.3,0,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1071,legacy_original,True,P1071,HearthRambler Expedition Flashlight 270,emergency,flashlight,Switchback Supply,,,,,HearthRambler Expedition Flashlight 270,emergency,flashlight,Switchback Supply
20260712-0053,2026-07-12,S004,P1014,4,163.74,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1014,legacy_original,True,P1014,SwitchbackRover Wide Trail Shoes 213,footwear,trail shoes,Summit Finch,,,,,SwitchbackRover Wide Trail Shoes 213,footwear,trail shoes,Summit Finch
20260712-0054,2026-07-12,S006,P1075,3,165.22,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1075,legacy_original,True,P1075,BoulderRambler 2P Camp Chair 274,camping,camp chair,Creekline,,,,,BoulderRambler 2P Camp Chair 274,camping,camp chair,Creekline
20260712-0055,2026-07-12,S001,P1029,1,125.93,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1029,legacy_original,True,P1029,FieldRunner Storm Kit Battery Pack 228,emergency,battery pack,Blue Ridge Works,,,,,FieldRunner Storm Kit Battery Pack 228,emergency,battery pack,Blue Ridge Works
20260712-0056,2026-07-12,S008,P1007,2,112.42,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1007,legacy_original,True,P1007,HearthRambler Stormproof Jacket 206,outerwear,rain shell,Switchback Supply,,,,,HearthRambler Stormproof Jacket 206,outerwear,rain shell,Switchback Supply
20260712-0057,2026-07-12,S006,P1037,1,91.75,0,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1037,legacy_original,True,P1037,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works,,,,,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works
20260712-0058,2026-07-12,S001,P1074,1,153.36,20,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1074,legacy_original,True,P1074,VistaRover Mid Trail Shoes 273,footwear,trail shoes,Highland Ember,,,,,VistaRover Mid Trail Shoes 273,footwear,trail shoes,Highland Ember
20260712-0059,2026-07-12,S005,P1033,1,189.46,0,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1033,legacy_original,True,P1033,SummitRunner 4P Tent 232,camping,tent,Rocky Top Outfitters,,,,,SummitRunner 4P Tent 232,camping,tent,Rocky Top Outfitters
20260712-0060,2026-07-12,S004,P1007,3,95.56,15,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1007,legacy_original,True,P1007,HearthRambler Stormproof Jacket 206,outerwear,rain shell,Switchback Supply,,,,,HearthRambler Stormproof Jacket 206,outerwear,rain shell,Switchback Supply
20260712-0061,2026-07-12,S002,P1049,2,199.81,10,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1049,legacy_original,True,P1049,SummitRunner Lightweight Jacket 248,outerwear,rain shell,Rocky Top Outfitters,,,,,SummitRunner Lightweight Jacket 248,outerwear,rain shell,Rocky Top Outfitters
20260712-0062,2026-07-12,S003,P1016,2,538.98,15,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1016,legacy_original,True,P1016,PeakNomad XL Cooler 215,patio,cooler,TrailForge,,,,,PeakNomad XL Cooler 215,patio,cooler,TrailForge
20260712-0063,2026-07-12,S001,P1013,4,77.91,20,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1013,legacy_original,True,P1013,FieldRunner Packable Jacket 212,outerwear,rain shell,Blue Ridge Works,,,,,FieldRunner Packable Jacket 212,outerwear,rain shell,Blue Ridge Works
20260712-0064,2026-07-12,S007,P1036,2,157.72,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1036,legacy_original,True,P1036,StormNomad 32oz Tumbler 235,hydration,insulated tumbler,Moss & Mile,,,,,StormNomad 32oz Tumbler 235,hydration,insulated tumbler,Moss & Mile
20260712-0065,2026-07-12,S002,P1039,4,331.06,10,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1039,legacy_original,True,P1039,HearthRambler Ultralight Camp Chair 238,camping,camp chair,Switchback Supply,,,,,HearthRambler Ultralight Camp Chair 238,camping,camp chair,Switchback Supply
20260712-0066,2026-07-12,S003,P1020,1,211.48,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1020,legacy_original,True,P1020,StormNomad Approach Trail Shoes 219,footwear,trail shoes,Moss & Mile,,,,,StormNomad Approach Trail Shoes 219,footwear,trail shoes,Moss & Mile
20260712-0067,2026-07-12,S003,P1003,2,381.63,15,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1003,legacy_original,True,P1003,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline,,,,,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline
20260712-0068,2026-07-12,S007,P1006,4,55.91,0,pickup,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1006,legacy_original,True,P1006,TrailRover 20oz Tumbler 205,hydration,insulated tumbler,Summit Finch,,,,,TrailRover 20oz Tumbler 205,hydration,insulated tumbler,Summit Finch
20260712-0069,2026-07-12,S006,P1038,1,167.35,15,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1038,legacy_original,True,P1038,TrailRover Wide Trail Shoes 237,footwear,trail shoes,Summit Finch,,,,,TrailRover Wide Trail Shoes 237,footwear,trail shoes,Summit Finch
20260712-0070,2026-07-12,S008,P1063,1,75.92,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1063,legacy_original,True,P1063,MoonRambler Ultralight Camp Chair 262,camping,camp chair,Switchback Supply,,,,,MoonRambler Ultralight Camp Chair 262,camping,camp chair,Switchback Supply
20260712-0071,2026-07-12,S003,P1046,3,186.74,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1046,legacy_original,True,P1046,SwitchbackRover Weekend Patio Heater 245,patio,patio heater,Summit Finch,,,,,SwitchbackRover Weekend Patio Heater 245,patio,patio heater,Summit Finch
20260712-0072,2026-07-12,S001,P1017,3,58.17,10,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1017,legacy_original,True,P1017,SummitRunner Mini Battery Pack 216,emergency,battery pack,Rocky Top Outfitters,,,,,SummitRunner Mini Battery Pack 216,emergency,battery pack,Rocky Top Outfitters
20260712-0073,2026-07-12,S005,P1011,2,119.76,10,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1011,legacy_original,True,P1011,BoulderRambler Rechargeable Flashlight 210,emergency,flashlight,Creekline,,,,,BoulderRambler Rechargeable Flashlight 210,emergency,flashlight,Creekline
20260712-0074,2026-07-12,S005,P1034,2,143.53,15,ship_from_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1034,legacy_original,True,P1034,RidgeRover Deluxe Patio Heater 233,patio,patio heater,Highland Ember,,,,,RidgeRover Deluxe Patio Heater 233,patio,patio heater,Highland Ember
20260712-0075,2026-07-12,S005,P1045,2,313.57,10,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1045,legacy_original,True,P1045,FieldRunner Basecamp Tent 244,camping,tent,Blue Ridge Works,,,,,FieldRunner Basecamp Tent 244,camping,tent,Blue Ridge Works
20260712-0076,2026-07-12,S008,P1068,4,72.83,10,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1068,legacy_original,True,P1068,StormNomad Approach Trail Shoes 267,footwear,trail shoes,Moss & Mile,,,,,StormNomad Approach Trail Shoes 267,footwear,trail shoes,Moss & Mile
20260712-0077,2026-07-12,S004,P1057,1,369.15,10,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1057,legacy_original,True,P1057,PineRunner 4P Tent 256,camping,tent,Rocky Top Outfitters,,,,,PineRunner 4P Tent 256,camping,tent,Rocky Top Outfitters
20260712-0078,2026-07-12,S004,P1050,1,75.31,0,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1050,legacy_original,True,P1050,RidgeRover Mid Trail Shoes 249,footwear,trail shoes,Highland Ember,,,,,RidgeRover Mid Trail Shoes 249,footwear,trail shoes,Highland Ember
20260712-0079,2026-07-12,S001,P1075,3,140.44,15,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1075,legacy_original,True,P1075,BoulderRambler 2P Camp Chair 274,camping,camp chair,Creekline,,,,,BoulderRambler 2P Camp Chair 274,camping,camp chair,Creekline
20260712-0080,2026-07-12,S007,P1048,1,59.74,15,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1048,legacy_original,True,P1048,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge,,,,,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge
20260712-0081,2026-07-12,S002,P1034,4,168.86,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1034,legacy_original,True,P1034,RidgeRover Deluxe Patio Heater 233,patio,patio heater,Highland Ember,,,,,RidgeRover Deluxe Patio Heater 233,patio,patio heater,Highland Ember
20260712-0082,2026-07-12,S001,P1003,3,448.98,0,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1003,legacy_original,True,P1003,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline,,,,,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline
20260712-0083,2026-07-12,S008,P1037,3,87.16,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1037,legacy_original,True,P1037,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works,,,,,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works
