order_id,order_date,store_id,product_id,new_product_id,canonical_product_id,canonical_product_name,quantity,unit_price,discount_pct,net_sales,sales_channel,loyalty_member
20260712-0025,2026-07-12,S006,P1031,,NP5031,MoonRambler Storm proof Jacket 230,2,156.18,10,312.36,in_store,Y
20260712-0026,2026-07-12,S001,P1060,,NP5060,CloudNomad-32oz-Tumbler-259,3,146.67,5,440.01,in_store,Y
20260712-0027,2026-07-12,S003,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,3,92.03,0,276.09,in_store,Y
20260712-0028,2026-07-12,S005,P1009,,NP5009,PineRunner 4P Tent 208,3,109.5,5,328.5,in_store,Y
20260712-0029,2026-07-12,S008,P1060,,NP5060,CloudNomad-32oz-Tumbler-259,3,131.23,15,393.69,in_store,N
20260712-0030,2026-07-12,S004,P1020,,NP5020,Storm Nomad Approach Trail Shoes 219,2,190.33,10,380.66,in_store,Y
20260712-0031,2026-07-12,S005,P1043,,NP5043,BoulderRambler Alpine Jacket 242,4,241.0,0,964.0,in_store,N
20260712-0032,2026-07-12,S007,P1040,,NP5040,CanyonNomad XL Cooler 239,3,108.81,0,326.43,ship_from_store,N
20260712-0033,2026-07-12,S007,P1032,,NP5032,PeakNomad Waterproof Trail Shoes 231,1,184.38,5,184.38,in_store,N
20260712-0034,2026-07-12,S003,P1067,,NP5067,CreekRambler Alpine Jacket 266 Pro,2,213.58,20,427.16,in_store,Y
20260712-0035,2026-07-12,S001,P1024,,NP5024,CanyonNomad Travel Tumbler 223,2,90.59,0,181.18,ship_from_store,Y
20260712-0036,2026-07-12,S002,P1036,,NP5036,Storm Nomad 32oz Tumbler 235,1,149.83,5,149.83,in_store,Y
20260712-0037,2026-07-12,S007,P1008,,NP5008,CanyonNomad Waterproof Trail Shoes 207,2,157.95,10,315.9,in_store,Y
20260712-0038,2026-07-12,S008,P1033,,NP5033,SummitRunner 4P Tent 232,2,189.46,0,378.92,in_store,Y
20260712-0039,2026-07-12,S006,P1048,,NP5048,PeakNomad Travel Tumbler 247,3,59.74,15,179.22,ship_from_store,N
20260712-0040,2026-07-12,S003,P1026,,NP5026,VistaRover Mid Trail Shoes 225,1,130.4,0,130.4,in_store,Y
20260712-0041,2026-07-12,S003,P1006,,NP5006,Trail Rover 20oz Tumbler 205,1,44.73,20,44.73,in_store,Y
20260712-0042,2026-07-12,S004,P1021,,NP5021,EmberRunner Basecamp Tent 220,1,73.74,0,73.74,ship_from_store,N
20260712-0043,2026-07-12,S004,P1012,,NP5012,CloudNomad 32oz Tumbler 211,1,123.66,0,123.66,ship_from_store,N
20260712-0044,2026-07-12,S003,P1018,,NP5018,RidgeRover Trail Tumbler 217,2,122.69,20,245.38,ship_from_store,Y
20260712-0045,2026-07-12,S008,P1044,,NP5044,CloudNomad Approach Trail Shoes 243,2,160.86,15,321.72,pickup,Y
20260712-0046,2026-07-12,S006,P1050,,NP5050,RidgeRover Mid Trail Shoes 249,1,71.54,5,71.54,in_store,Y
20260712-0047,2026-07-12,S005,P1051,,NP5051,CreekRambler 2P Camp Chair 250,2,339.32,20,678.64,in_store,Y
20260712-0048,2026-07-12,S004,P1042,,NP5042,VistaRover Trail Tumbler 241,3,97.96,15,293.88,pickup,Y
20260712-0049,2026-07-12,S006,P1016,,NP5016,PeakNomad XL Cooler 215,1,634.09,0,634.09,ship_from_store,Y
20260712-0050,2026-07-12,S003,P1014,,NP5014,SwitchbackRover Wide Trail Shoes 213,3,204.67,0,614.01,in_store,N
20260712-0051,2026-07-12,S003,P1031,,NP5031,MoonRambler Storm proof Jacket 230,1,164.85,5,164.85,in_store,N
20260712-0052,2026-07-12,S008,P1071,,P1071,HearthRambler Expedition Flashlight 270,2,143.3,0,286.6,ship_from_store,N
20260712-0053,2026-07-12,S004,P1014,,NP5014,SwitchbackRover Wide Trail Shoes 213,4,163.74,20,654.96,in_store,Y
20260712-0054,2026-07-12,S006,P1075,,P1075,BoulderRambler 2P Camp Chair 274,3,165.22,0,495.66,in_store,Y
20260712-0055,2026-07-12,S001,P1029,,NP5029,FieldRunner Storm Kit Battery Pack 228,1,125.93,0,125.93,in_store,Y
20260712-0056,2026-07-12,S008,P1007,,NP5007,HearthRambler Storm proof Jacket 206,2,112.42,0,224.84,in_store,Y
20260712-0057,2026-07-12,S006,P1037,,NP5037,EmberRunner Packable Jacket 236,1,91.75,0,91.75,in_store,N
20260712-0058,2026-07-12,S001,P1074,,P1074,VistaRover Mid Trail Shoes 273,1,153.36,20,153.36,in_store,N
20260712-0059,2026-07-12,S005,P1033,,NP5033,SummitRunner 4P Tent 232,1,189.46,0,189.46,ship_from_store,Y
20260712-0060,2026-07-12,S004,P1007,,NP5007,HearthRambler Storm proof Jacket 206,3,95.56,15,286.68,ship_from_store,N
20260712-0061,2026-07-12,S002,P1049,,NP5049,SummitRunner Lightweight Jacket 248,2,199.81,10,399.62,in_store,Y
20260712-0062,2026-07-12,S003,P1016,,NP5016,PeakNomad XL Cooler 215,2,538.98,15,1077.96,pickup,Y
20260712-0063,2026-07-12,S001,P1013,,NP5013,FieldRunner Packable Jacket 212,4,77.91,20,311.64,ship_from_store,Y
20260712-0064,2026-07-12,S007,P1036,,NP5036,Storm Nomad 32oz Tumbler 235,2,157.72,0,315.44,in_store,Y
20260712-0065,2026-07-12,S002,P1039,,NP5039,HearthRambler Ultralight Camp Chair 238,4,331.06,10,1324.24,ship_from_store,Y
20260712-0066,2026-07-12,S003,P1020,,NP5020,Storm Nomad Approach Trail Shoes 219,1,211.48,0,211.48,in_store,Y
20260712-0067,2026-07-12,S003,P1003,,NP5003,CreekRambler 2P Camp Chair 202,2,381.63,15,763.26,in_store,Y
20260712-0068,2026-07-12,S007,P1006,,NP5006,Trail Rover 20oz Tumbler 205,4,55.91,0,223.64,pickup,N
20260712-0069,2026-07-12,S006,P1038,,NP5038,Trail Rover Wide Trail Shoes 237,1,167.35,15,167.35,in_store,N
20260712-0070,2026-07-12,S008,P1063,,NP5063,MoonRambler Ultralight Camp Chair 262 Pro,1,75.92,5,75.92,in_store,Y
20260712-0071,2026-07-12,S003,P1046,,NP5046,SwitchbackRover Weekend Patio Heater 245,3,186.74,20,560.22,in_store,Y
20260712-0072,2026-07-12,S001,P1017,,NP5017,SummitRunner Mini Battery Pack 216,3,58.17,10,174.51,in_store,Y
20260712-0073,2026-07-12,S005,P1011,,NP5011,BoulderRambler Rechargeable Flashlight 210,2,119.76,10,239.52,in_store,Y
20260712-0074,2026-07-12,S005,P1034,,NP5034,RidgeRover Deluxe Patio Heater 233,2,143.53,15,287.06,ship_from_store,Y
20260712-0075,2026-07-12,S005,P1045,,NP5045,FieldRunner Basecamp Tent 244,2,313.57,10,627.14,pickup,Y
20260712-0076,2026-07-12,S008,P1068,,NP5068,StormNomad-Approach-Trail-Shoes-267,4,72.83,10,291.32,pickup,Y
20260712-0077,2026-07-12,S004,P1057,,NP5057,PineRunner 4P Tent 256 Pro,1,369.15,10,369.15,pickup,Y
20260712-0078,2026-07-12,S004,P1050,,NP5050,RidgeRover Mid Trail Shoes 249,1,75.31,0,75.31,ship_from_store,N
20260712-0079,2026-07-12,S001,P1075,,P1075,BoulderRambler 2P Camp Chair 274,3,140.44,15,421.32,in_store,Y
20260712-0080,2026-07-12,S007,P1048,,NP5048,PeakNomad Travel Tumbler 247,1,59.74,15,59.74,in_store,N
20260712-0081,2026-07-12,S002,P1034,,NP5034,RidgeRover Deluxe Patio Heater 233,4,168.86,0,675.44,in_store,Y
20260712-0082,2026-07-12,S001,P1003,,NP5003,CreekRambler 2P Camp Chair 202,3,448.98,0,1346.94,in_store,N
20260712-0083,2026-07-12,S008,P1037,,NP5037,EmberRunner Packable Jacket 236,3,87.16,5,261.48,in_store,Y
20260712-0084,2026-07-12,S001,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,1,87.43,5,87.43,pickup,Y
20260712-0085,2026-07-12,S003,P1071,,P1071,HearthRambler Expedition Flashlight 270,3,143.3,0,429.9,in_store,N
20260712-0086,2026-07-12,S007,P1069,,P1069,EmberRunner Basecamp Tent 268,1,256.36,0,256.36,ship_from_store,Y
20260712-0087,2026-07-12,S005,P1063,,NP5063,MoonRambler Ultralight Camp Chair 262 Pro,1,79.92,0,79.92,pickup,Y
20260712-0088,2026-07-12,S008,P1042,,NP5042,VistaRover Trail Tumbler 241,4,97.96,15,391.84,in_store,Y
20260712-0089,2026-07-12,S008,P1018,,NP5018,RidgeRover Trail Tumbler 217,2,130.36,15,260.72,in_store,Y
20260712-0090,2026-07-12,S007,P1080,,NP5080,PeakNomad Trail Shoes Alt,1,143.0,0,143.0,ship_from_store,Y
20260712-0091,2026-07-12,S006,P1041,,NP5041,PineRunner Mini Battery Pack 240,2,54.6,0,109.2,in_store,Y
20260712-0092,2026-07-12,S005,P1065,,NP5065,SummitRunner Mini Battery Pack 264 Pro,2,90.29,20,180.58,pickup,Y
20260712-0093,2026-07-12,S001,P1018,,NP5018,RidgeRover Trail Tumbler 217,2,130.36,15,260.72,ship_from_store,Y
20260712-0094,2026-07-12,S007,P1026,,NP5026,VistaRover Mid Trail Shoes 225,2,130.4,0,260.8,ship_from_store,N
20260712-0095,2026-07-12,S005,P1039,,NP5039,HearthRambler Ultralight Camp Chair 238,1,312.66,15,312.66,in_store,Y
20260712-0096,2026-07-12,S004,P1061,,NP5061,FieldRunner Packable Jacket 260 Pro,2,147.84,0,295.68,ship_from_store,Y
20260712-0097,2026-07-12,S005,P1003,,NP5003,CreekRambler 2P Camp Chair 202,2,448.98,0,897.96,ship_from_store,Y
20260712-0098,2026-07-12,S003,P1006,,NP5006,Trail Rover 20oz Tumbler 205,2,55.91,0,111.82,pickup,Y
20260712-0099,2026-07-12,S002,P1023,,NP5023,HearthRambler Expedition Flashlight 222,1,141.44,0,141.44,ship_from_store,Y
20260712-0100,2026-07-12,S001,P1054,,NP5054,Trail Rover 20oz Tumbler 253,1,70.68,0,70.68,pickup,Y
20260712-0101,2026-07-12,S005,P1010,,NP5010,VistaRover Deluxe Patio Heater 209,3,552.43,0,1657.29,in_store,Y
20260712-0102,2026-07-12,S001,P1007,,NP5007,HearthRambler Storm proof Jacket 206,2,101.18,10,202.36,in_store,Y
20260712-0103,2026-07-12,S001,P1028,,NP5028,CloudNomad Compact Cooler 227,3,647.52,0,1942.56,in_store,Y
20260712-0104,2026-07-12,S005,P1074,,P1074,VistaRover Mid Trail Shoes 273,1,172.53,10,172.53,in_store,Y
20260714-0001,2026-07-14,S004,P1058,,NP5058,VistaRover-Deluxe-Patio-Heater-257,3,210.87,20,632.61,in_store,Y
20260714-0002,2026-07-14,S008,P1075,,P1075,BoulderRambler 2P Camp Chair 274,3,165.22,0,495.66,ship_from_store,Y
20260714-0003,2026-07-14,S003,P1063,,NP5063,MoonRambler Ultralight Camp Chair 262 Pro,3,79.92,0,239.76,ship_from_store,Y
20260714-0004,2026-07-14,S007,P1064,,NP5064,PeakNomad-XL-Cooler-263,1,614.45,0,614.45,ship_from_store,Y
20260714-0005,2026-07-14,S004,P1029,,NP5029,FieldRunner Storm Kit Battery Pack 228,2,125.93,0,251.86,in_store,Y
20260714-0006,2026-07-14,S003,P1078,,NP5078,SwitchbackRover Insulated Tumbler Alt,1,146.35,0,146.35,in_store,Y
20260714-0007,2026-07-14,S004,P1061,,NP5061,FieldRunner Packable Jacket 260 Pro,2,118.27,20,236.54,ship_from_store,Y
20260714-0008,2026-07-14,S001,P1074,,P1074,VistaRover Mid Trail Shoes 273,2,191.7,0,383.4,in_store,Y
20260714-0009,2026-07-14,S003,P1080,,NP5080,PeakNomad Trail Shoes Alt,1,121.55,15,121.55,ship_from_store,Y
20260714-0010,2026-07-14,S008,P1042,,NP5042,VistaRover Trail Tumbler 241,1,103.73,10,103.73,in_store,N
20260714-0011,2026-07-14,S003,P1026,,NP5026,VistaRover Mid Trail Shoes 225,2,130.4,0,260.8,ship_from_store,N
20260714-0012,2026-07-14,S003,P1053,,NP5053,EmberRunner Storm Kit Battery Pack 252,2,108.53,0,217.06,pickup,Y
20260714-0013,2026-07-14,S002,P1009,,NP5009,PineRunner 4P Tent 208,1,97.97,15,97.97,ship_from_store,Y
20260714-0014,2026-07-14,S002,P1047,,NP5047,MoonRambler Expedition Flashlight 246,1,48.36,15,48.36,in_store,Y
20260714-0015,2026-07-14,S006,P1031,,NP5031,MoonRambler Storm proof Jacket 230,1,156.18,10,156.18,in_store,N
20260714-0016,2026-07-14,S006,P1061,,NP5061,FieldRunner Packable Jacket 260 Pro,1,140.45,5,140.45,pickup,N
20260714-0017,2026-07-14,S005,P1079,,NP5079,MoonRambler Rain Shell Alt,1,217.78,15,217.78,pickup,Y
20260714-0018,2026-07-14,S003,P1064,,NP5064,PeakNomad-XL-Cooler-263,1,614.45,0,614.45,in_store,Y
20260714-0019,2026-07-14,S007,P1058,,NP5058,VistaRover-Deluxe-Patio-Heater-257,2,263.59,0,527.18,in_store,Y
20260714-0020,2026-07-14,S004,P1024,,NP5024,CanyonNomad Travel Tumbler 223,4,90.59,0,362.36,in_store,N
20260714-0021,2026-07-14,S005,P1051,,NP5051,CreekRambler 2P Camp Chair 250,1,402.94,5,402.94,in_store,N
20260714-0022,2026-07-14,S002,P1003,,NP5003,CreekRambler 2P Camp Chair 202,1,448.98,0,448.98,pickup,N
20260714-0023,2026-07-14,S001,P1044,,NP5044,CloudNomad Approach Trail Shoes 243,2,179.79,5,359.58,in_store,N
20260714-0024,2026-07-14,S007,P1058,,NP5058,VistaRover-Deluxe-Patio-Heater-257,1,263.59,0,263.59,in_store,Y
20260714-0025,2026-07-14,S002,P1008,,NP5008,CanyonNomad Waterproof Trail Shoes 207,2,149.17,15,298.34,in_store,Y
20260714-0026,2026-07-14,S007,P1061,,NP5061,FieldRunner Packable Jacket 260 Pro,2,133.06,10,266.12,ship_from_store,N
20260714-0027,2026-07-14,S001,P1052,,NP5052,Storm Nomad Compact Cooler 251,4,350.02,10,1400.08,in_store,N
20260714-0028,2026-07-14,S001,P1019,,NP5019,CreekRambler Alpine Jacket 218,1,178.99,0,178.99,pickup,Y
20260714-0029,2026-07-14,S006,P1072,,NP5070,FieldPacer Insulated Tumbler,3,107.43,20,322.29,in_store,Y
20260714-0030,2026-07-14,S006,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,3,82.83,10,248.49,in_store,Y
20260714-0031,2026-07-14,S002,P1053,,NP5053,EmberRunner Storm Kit Battery Pack 252,2,108.53,0,217.06,in_store,Y
20260714-0032,2026-07-14,S006,P1003,,NP5003,CreekRambler 2P Camp Chair 202,1,448.98,0,448.98,in_store,N
20260714-0033,2026-07-14,S001,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,1,92.03,0,92.03,pickup,N
20260714-0034,2026-07-14,S005,P1055,,NP5055,HearthRambler Storm proof Jacket 254,1,222.06,20,222.06,ship_from_store,N
20260714-0035,2026-07-14,S008,P1054,,NP5054,Trail Rover 20oz Tumbler 253,1,67.15,5,67.15,ship_from_store,N
20260714-0036,2026-07-14,S007,P1008,,NP5008,CanyonNomad Waterproof Trail Shoes 207,2,175.5,0,351.0,in_store,Y
20260714-0037,2026-07-14,S003,P1038,,NP5038,Trail Rover Wide Trail Shoes 237,3,177.19,10,531.57,in_store,Y
20260714-0038,2026-07-14,S004,P1061,,NP5061,FieldRunner Packable Jacket 260 Pro,2,140.45,5,280.9,in_store,Y
20260714-0039,2026-07-14,S001,P1036,,NP5036,Storm Nomad 32oz Tumbler 235,2,149.83,5,299.66,in_store,Y
20260714-0040,2026-07-14,S006,P1042,,NP5042,VistaRover Trail Tumbler 241,2,115.25,0,230.5,in_store,Y
20260714-0041,2026-07-14,S003,P1076,,NP5072,SummitRover Cooler,1,617.47,10,617.47,in_store,Y
20260714-0042,2026-07-14,S006,P1054,,NP5054,Trail Rover 20oz Tumbler 253,2,56.54,20,113.08,in_store,Y
20260714-0043,2026-07-14,S002,P1076,,NP5072,SummitRover Cooler,1,617.47,10,617.47,in_store,Y
20260714-0044,2026-07-14,S008,P1006,,NP5006,Trail Rover 20oz Tumbler 205,1,53.11,5,53.11,in_store,Y
20260714-0045,2026-07-14,S004,P1013,,NP5013,FieldRunner Packable Jacket 212,4,97.39,0,389.56,ship_from_store,Y
20260714-0046,2026-07-14,S004,P1046,,NP5046,SwitchbackRover Weekend Patio Heater 245,1,233.42,0,233.42,pickup,Y
20260714-0047,2026-07-14,S001,P1060,,NP5060,CloudNomad-32oz-Tumbler-259,4,154.39,0,617.56,pickup,Y
20260714-0048,2026-07-14,S007,P1071,,P1071,HearthRambler Expedition Flashlight 270,1,136.13,5,136.13,pickup,N
20260714-0049,2026-07-14,S002,P1010,,NP5010,VistaRover Deluxe Patio Heater 209,1,552.43,0,552.43,in_store,N
20260714-0050,2026-07-14,S001,P1003,,NP5003,CreekRambler 2P Camp Chair 202,1,381.63,15,381.63,in_store,Y
20260714-0051,2026-07-14,S008,P1069,,P1069,EmberRunner Basecamp Tent 268,1,256.36,0,256.36,ship_from_store,Y
20260714-0052,2026-07-14,S002,P1039,,NP5039,HearthRambler Ultralight Camp Chair 238,4,331.06,10,1324.24,in_store,Y
20260714-0053,2026-07-14,S001,P1044,,NP5044,CloudNomad Approach Trail Shoes 243,1,179.79,5,179.79,in_store,Y
20260714-0054,2026-07-14,S001,P1012,,NP5012,CloudNomad 32oz Tumbler 211,1,105.11,15,105.11,in_store,N
20260714-0055,2026-07-14,S005,P1076,,NP5072,SummitRover Cooler,1,686.08,0,686.08,in_store,Y
20260714-0056,2026-07-14,S001,P1042,,NP5042,VistaRover Trail Tumbler 241,4,103.73,10,414.92,in_store,N
20260714-0057,2026-07-14,S004,P1073,,P1073,PineRunner Lightweight Jacket 272,3,112.79,10,338.37,ship_from_store,Y
20260714-0058,2026-07-14,S004,P1033,,NP5033,SummitRunner 4P Tent 232,1,151.57,20,151.57,in_store,Y
20260714-0059,2026-07-14,S003,P1045,,NP5045,FieldRunner Basecamp Tent 244,4,348.41,0,1393.64,pickup,N
20260714-0060,2026-07-14,S005,P1076,,NP5072,SummitRover Cooler,1,686.08,0,686.08,pickup,Y
20260714-0061,2026-07-14,S008,P1028,,NP5028,CloudNomad Compact Cooler 227,3,615.14,5,1845.42,in_store,N
20260714-0062,2026-07-14,S008,P1039,,NP5039,HearthRambler Ultralight Camp Chair 238,4,349.45,5,1397.8,pickup,Y
20260714-0063,2026-07-14,S006,P1015,,NP5015,MoonRambler Ultralight Camp Chair 214,2,163.09,15,326.18,in_store,Y
20260714-0064,2026-07-14,S006,P1004,,NP5004,Storm Nomad Compact Cooler 203,4,104.41,5,417.64,in_store,Y
20260714-0065,2026-07-14,S007,P1015,,NP5015,MoonRambler Ultralight Camp Chair 214,4,163.09,15,652.36,pickup,Y
20260714-0066,2026-07-14,S004,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,1,92.03,0,92.03,in_store,Y
20260714-0067,2026-07-14,S002,P1036,,NP5036,Storm Nomad 32oz Tumbler 235,4,157.72,0,630.88,pickup,Y
20260714-0068,2026-07-14,S002,P1022,,NP5022,Trail Rover Weekend Patio Heater 221,2,310.97,20,621.94,pickup,Y
20260714-0069,2026-07-14,S005,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,1,73.62,20,73.62,in_store,N
20260714-0070,2026-07-14,S006,P1027,,NP5027,BoulderRambler 2P Camp Chair 226,1,73.62,20,73.62,in_store,N
20260714-0071,2026-07-14,S006,P1048,,NP5048,PeakNomad Travel Tumbler 247,1,59.74,15,59.74,in_store,Y
20260714-0072,2026-07-14,S002,P1047,,NP5047,MoonRambler Expedition Flashlight 246,2,56.9,0,113.8,ship_from_store,Y
20260714-0073,2026-07-14,S004,P1080,,NP5080,PeakNomad Trail Shoes Alt,1,114.4,20,114.4,in_store,Y
20260714-0074,2026-07-14,S004,P1057,,NP5057,PineRunner 4P Tent 256 Pro,1,389.66,5,389.66,pickup,Y
20260714-0075,2026-07-14,S001,P1051,,NP5051,CreekRambler 2P Camp Chair 250,1,381.74,10,381.74,in_store,Y
20260714-0076,2026-07-14,S005,P1015,,NP5015,MoonRambler Ultralight Camp Chair 214,1,191.87,0,191.87,ship_from_store,Y
20260714-0077,2026-07-14,S003,P1052,,NP5052,Storm Nomad Compact Cooler 251,1,369.46,5,369.46,pickup,Y
20260714-0078,2026-07-14,S003,P1002,,NP5002,RidgeRover Mid Trail Shoes 201,1,203.43,0,203.43,in_store,Y
20260714-0079,2026-07-14,S003,P1026,,NP5026,VistaRover Mid Trail Shoes 225,1,130.4,0,130.4,in_store,Y
20260714-0080,2026-07-14,S004,P1046,,NP5046,SwitchbackRover Weekend Patio Heater 245,2,210.08,10,420.16,in_store,Y
20260714-0081,2026-07-14,S006,P1018,,NP5018,RidgeRover Trail Tumbler 217,3,145.69,5,437.07,in_store,Y
20260714-0082,2026-07-14,S001,P1048,,NP5048,PeakNomad Travel Tumbler 247,3,59.74,15,179.22,pickup,Y
20260714-0083,2026-07-14,S003,P1060,,NP5060,CloudNomad-32oz-Tumbler-259,1,138.95,10,138.95,in_store,N
20260714-0084,2026-07-14,S001,P1056,,NP5056,CanyonNomad Waterproof Trail Shoes 255,2,136.81,5,273.62,in_store,Y
20260714-0085,2026-07-14,S001,P1066,,NP5066,RidgeRover-Trail-Tumbler-265,2,89.15,15,178.3,in_store,Y
20260714-0086,2026-07-14,S004,P1066,,NP5066,RidgeRover-Trail-Tumbler-265,1,104.88,0,104.88,ship_from_store,Y
20260714-0087,2026-07-14,S002,P1045,,NP5045,FieldRunner Basecamp Tent 244,1,296.15,15,296.15,in_store,N
20260714-0088,2026-07-14,S004,P1059,,NP5059,BoulderRambler Rechargeable Flashlight 258 Pro,3,100.22,5,300.66,pickup,Y
20260714-0089,2026-07-14,S007,P1076,,NP5072,SummitRover Cooler,3,583.17,15,1749.51,pickup,Y
20260714-0090,2026-07-14,S006,P1080,,NP5080,PeakNomad Trail Shoes Alt,4,143.0,0,572.0,in_store,N
20260714-0091,2026-07-14,S004,P1067,,NP5067,CreekRambler Alpine Jacket 266 Pro,1,266.98,0,266.98,ship_from_store,Y
20260714-0092,2026-07-14,S005,P1072,,NP5070,FieldPacer Insulated Tumbler,1,120.86,10,120.86,in_store,Y
20260714-0093,2026-07-14,S008,P1010,,NP5010,VistaRover Deluxe Patio Heater 209,1,497.19,10,497.19,in_store,Y
20260714-0094,2026-07-14,S004,P1056,,NP5056,CanyonNomad Waterproof Trail Shoes 255,4,115.21,20,460.84,in_store,Y
20260714-0095,2026-07-14,S005,P1049,,NP5049,SummitRunner Lightweight Jacket 248,1,199.81,10,199.81,in_store,Y
20260714-0096,2026-07-14,S006,P1043,,NP5043,BoulderRambler Alpine Jacket 242,1,241.0,0,241.0,in_store,Y
20260714-0097,2026-07-14,S005,P1045,,NP5045,FieldRunner Basecamp Tent 244,2,313.57,10,627.14,in_store,N
20260714-0098,2026-07-14,S001,P1007,,NP5007,HearthRambler Storm proof Jacket 206,1,106.8,5,106.8,in_store,Y
20260714-0099,2026-07-14,S007,P1007,,NP5007,HearthRambler Storm proof Jacket 206,1,112.42,0,112.42,in_store,Y
20260714-0100,2026-07-14,S005,P1056,,NP5056,CanyonNomad Waterproof Trail Shoes 255,2,136.81,5,273.62,ship_from_store,N
20260714-0101,2026-07-14,S005,P1041,,NP5041,PineRunner Mini Battery Pack 240,2,51.87,5,103.74,pickup,Y
20260714-0102,2026-07-14,S004,P1078,,NP5078,SwitchbackRover Insulated Tumbler Alt,1,117.08,20,117.08,in_store,Y
20260714-0103,2026-07-14,S004,P1018,,NP5018,RidgeRover Trail Tumbler 217,1,122.69,20,122.69,in_store,Y
20260714-0104,2026-07-14,S002,P1020,,NP5020,Storm Nomad Approach Trail Shoes 219,1,169.18,20,169.18,in_store,Y
20260714-0105,2026-07-14,S008,P1070,,NP5069,BoulderNomad Patio Heater,1,162.02,20,162.02,in_store,N
20260714-0106,2026-07-14,S002,P1029,,NP5029,FieldRunner Storm Kit Battery Pack 228,2,125.93,0,251.86,in_store,Y
20260714-0107,2026-07-14,S003,P1042,,NP5042,VistaRover Trail Tumbler 241,2,115.25,0,230.5,in_store,Y
20260714-0108,2026-07-14,S007,P1006,,NP5006,Trail Rover 20oz Tumbler 205,2,55.91,0,111.82,in_store,Y
20260714-0109,2026-07-14,S005,P1003,,NP5003,CreekRambler 2P Camp Chair 202,2,448.98,0,897.96,in_store,N
20260714-0110,2026-07-14,S006,P1034,,NP5034,RidgeRover Deluxe Patio Heater 233,2,151.97,10,303.94,ship_from_store,Y
